TEST ID;GT;PREDICT;SIMILARITY;STATUS;MANUAL REVIEW
2;"Purpose

This basic testcase is designed to verify that a bookmark is properly added and is displayed at the appropriate places.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Select the toplevel 'Bookmarks' menu then select the first menuitem 'Add Bookmark'.

Expected Results

The title of the page you selected should appear as a bookmark in:

    the toplevel 'Bookmarks' menu
    the 'Bookmarks' popup menu on the personal toolbar
    the 'Bookmarks' panel in MySidebar
    in the Manage Bookmarks view (select Bookmarks| Manage Bookmarks)";"Purpose

To verify that newly added bookmarks are correctly saved to the bookmarks file and are accessible from all standard user interfaces.

Initial Conditions

*   Firefox browser is open.
*   A unique webpage is loaded in the active tab (e.g., `http://www.example.com/bookmark_test_page`).
*   The sidebar is customized to include a bookmarks panel.

Steps/Description

1.  Navigate to a unique URL (e.g., `http://www.example.com/bookmark_test_page`).
2.  Use the ""Bookmark This Page"" function (e.g., `Ctrl+D` or via the `Bookmarks` menu -> `Bookmark This Page`).
3.  In the ""Add Bookmark"" dialog:
    *   Set the ""Name"" to ""Test Bookmark for All Access Points"".
    *   Ensure the ""Location"" is set to ""Bookmarks Menu"" (or ""Unsorted Bookmarks"" for easy visibility).
    *   Click ""Done"" or ""Add"" to save the bookmark.
4.  Open the main ""Bookmarks"" menu from the browser's menu bar.
5.  Open the sidebar and select the ""Bookmarks"" panel.
6.  Open the ""Manage Bookmarks"" window (e.g., `Ctrl+Shift+B` or via the `Bookmarks` menu -> `Manage Bookmarks`).

Expected Results

1.  After Step 3, a visual confirmation (e.g., star icon turning blue, a brief notification) should indicate the bookmark has been successfully added.
2.  In Step 4, ""Test Bookmark for All Access Points"" should be visible as a menu item within the ""Bookmarks Menu"" section of the main Bookmarks dropdown.
3.  In Step 5, ""Test Bookmark for All Access Points"" should be visible within the ""Bookmarks Menu"" (or ""Unsorted Bookmarks"") folder in the sidebar's Bookmarks panel.
4.  In Step 6, the ""Manage Bookmarks"" window should open, and ""Test Bookmark for All Access Points"" should be present under the ""Bookmarks Menu"" (or ""Unsorted Bookmarks"") folder in the folder tree and the main content pane.
5.  The URL associated with the ""Test Bookmark for All Access Points"" bookmark in all access points should match `http://www.example.com/bookmark_test_page`.";0.8275;TP;
2;"Purpose

This basic testcase is designed to verify that a bookmark is properly added and is displayed at the appropriate places.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Select the toplevel 'Bookmarks' menu then select the first menuitem 'Add Bookmark'.

Expected Results

The title of the page you selected should appear as a bookmark in:

    the toplevel 'Bookmarks' menu
    the 'Bookmarks' popup menu on the personal toolbar
    the 'Bookmarks' panel in MySidebar
    in the Manage Bookmarks view (select Bookmarks| Manage Bookmarks)";"1. Purpose
This test case is designed to verify that the ""Bookmark This Page"" functionality correctly writes new bookmark entries to the bookmarks storage file and that these entries are immediately propagated and visible across all standard browser access points.

2. Initial Conditions
*   A valid user profile is loaded with an existing bookmarks structure.
*   The browser is open and displaying a web page.
*   The ""Bookmarks"" menu, ""Bookmarks Toolbar,"" and ""Bookmarks Sidebar"" are available for verification.

3. Steps/Description
*   Navigate to a unique web page (e.g., ""http://www.example.com"").
*   Trigger the ""Bookmark This Page"" command via the browser interface (e.g., Ctrl+D or Bookmarks menu option).
*   In the ""Add Bookmark"" dialog, assign a specific name and select a folder location.
*   Click ""Save"" or ""Done"" to commit the bookmark.
*   Verify the entry in the ""Bookmarks"" top-level menu.
*   Verify the entry in the ""Bookmarks"" toolbar (if added to that folder).
*   Open the ""Bookmarks Sidebar"" and verify the entry is present.
*   Open the ""Manage Bookmarks"" (Bookmark Manager) window and verify the entry exists in the specified folder.

4. Expected Results
*   The bookmark is successfully saved to the bookmarks storage file without error.
*   The bookmark appears as a selectable item in the ""Bookmarks"" top-level menu.
*   The bookmark is visible on the ""Bookmarks Toolbar"" if the correct folder was selected.
*   The bookmark is listed in the ""Bookmarks Sidebar"" with the correct icon and title.
*   The ""Manage Bookmarks"" window displays the new entry, and the entry's properties (Name, URL, Location) match the input provided during the save process.";0.8177;TP;
3;"Purpose

This basic testcase is designed to verify that bookmarks can be added and file to a specific location in one step.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks, which I use. I have also provided the default Mozilla bookmarks file.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Open this link in a new window.
    With the new window in front select from the toplevel menu Bookmarks|File Bookmark.
    In the folder tree select a folder and click 'OK'.

Expected Results

    After Step(2) a dialog should appear with the Name and Location of the current page pre-filled.
    After Step(3) the bookmark should immediately appear in the toplevel bookmarks menu, the bookmarks popup on the personal toolbar, the bookmarks sidepanel, and the manage bookmarks window at the specified position within the hierarchy.";"Purpose

To verify that a user can successfully add a new bookmark and specify its exact location within the existing bookmarks folder hierarchy.

Initial Conditions

1. The Bookmarks Manager is open.
2. The bookmarks library contains at least one parent folder and one sub-folder.
3. A web page is currently loaded in the browser.

Steps/Description

1. Open the ""Bookmarks"" menu and select ""Bookmark This Page"" or use the equivalent command in the Bookmarks Manager.
2. In the ""Add Bookmark"" dialog, locate the ""Create In"" dropdown menu.
3. Expand the folder tree within the ""Create In"" dropdown to navigate to the desired target sub-folder.
4. Select the target sub-folder as the destination.
5. Enter a name and optional tags/description for the bookmark.
6. Click the ""Save"" or ""Done"" button to confirm the action.
7. Navigate to the selected sub-folder within the Bookmarks Manager or Bookmarks Menu to verify the placement.

Expected Results

1. The ""Add Bookmark"" dialog correctly displays the full hierarchy of the bookmarks folder structure.
2. The bookmark is saved specifically into the chosen sub-folder rather than the default ""Bookmarks Menu"" or ""Unsorted Bookmarks"" root.
3. The bookmark appears in the designated location upon inspection in the Bookmarks Manager.
4. All metadata (name, tags, description) is correctly associated with the new bookmark entry.";0.8091;TP;
4;"Purpose

This basic testcase is designed to verify that new bookmarks are properly created. *This testcase will change/evolve as the UI for this feature becomes finalized.*
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks, which I use. I have also provided the default Mozilla bookmarks file.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Select Bookmarks|Manage Bookmarks.
    Select File|New Bookmark.
    Type in any name and location (URL)
    Click Enter.

Expected Results

    A dialog box should appear prompting you for the Name and Location (URL) of the new bookmark.
    The new bookmark should immediately appear on the toplevel bookmarks menu, the bookmarks popup on the personal toolbar, the bookmarks sidepanel, and the manage bookmarks window.";"Purpose

This test case verifies that the browser correctly handles the creation of new, unique bookmarks and prevents the addition of duplicate URLs, as per the requirement to intelligently manage bookmark redundancy.

Initial Conditions

    The browser is open and a web page is currently loaded.
    The user has access to the ""Add Bookmark"" functionality.
    The ""Duplicate bookmark warning"" feature is enabled in settings.

Steps/Description

    1. Navigate to a unique URL that is not currently in the bookmarks list.
    2. Trigger the ""Add Bookmark"" dialog (e.g., via Ctrl+D or the menu).
    3. Enter a unique name for the bookmark and save it.
    4. Navigate to a URL that is already present in the bookmarks list.
    5. Trigger the ""Add Bookmark"" dialog for this existing URL.
    6. Observe the system response to the duplicate entry.
    7. Select the ""Add new one here"" option if prompted by the duplicate warning.
    8. Verify if the system offers to merge or update existing metadata (tags/descriptions) instead of creating a full duplicate, if applicable.

Expected Results

    1. The new, unique bookmark is successfully saved and appears in the bookmark list/manager.
    2. When attempting to add an existing URL, the system displays a ""Duplicate bookmark warning"" dialog.
    3. The warning dialog provides options such as ""Add new one here,"" ""Copy existing,"" or ""Cancel.""
    4. If ""Add new one here"" is selected, the bookmark is added.
    5. If the system supports intelligent duplicate handling, new tags or descriptions provided during the second attempt are merged into the existing bookmark record rather than creating a redundant entry.";0.8209;TP;
5;"Purpose

This basic testcase is designed to verify that a bookmark is properly deleted and is no longer displayed at the appropriate places.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

Select the toplevel 'Bookmarks' menu then select the 'Manage Bookmarks' menuitem.

    Select (highlight) a bookmark, press the delete key, OR
    Select (highlight) a bookmark, Select Edit|Delete. Click OK in the dialog that appears.

Expected Results

The title of and link to the bookmark should now be removed from:

    the toplevel 'Bookmarks' menu
    the 'Bookmarks' popup menu on the personal toolbar
    the 'Bookmarks' panel in MySidebar
    in the Manage Bookmarks view (select Bookmarks| Manage Bookmarks)";"1. Purpose
This test case is designed to verify that deleting a bookmark from the Bookmarks Manager successfully removes the entry from the underlying storage file and from all user-facing access points (Menus, Toolbars, and Sidebar).

2. Initial Conditions
* A browser session with existing bookmarks and folders.
* The Bookmarks Manager is accessible.
* The Bookmarks Toolbar is enabled and visible.
* The Bookmarks Sidebar is enabled and visible.
* At least one bookmark is currently present in the root or a subfolder.

3. Steps/Description
* Open the Bookmarks Manager.
* Select a specific bookmark entry.
* Perform a ""Delete"" action (e.g., via the Delete key, context menu ""Delete"", or Edit menu).
* Verify the entry is removed from the Bookmarks Manager list.
* Close the Bookmarks Manager.
* Check the ""Bookmarks"" top-level menu to ensure the bookmark is no longer listed.
* Check the ""Bookmarks Toolbar"" to ensure the bookmark icon/link has been removed.
* Check the ""Bookmarks Sidebar"" to ensure the bookmark is no longer present in the tree.
* (Optional) Close and restart the browser to ensure the change persists in the storage file (e.g., bookmarks.html).

4. Expected Results
* The bookmark is immediately removed from the Bookmarks Manager view upon the delete command.
* The bookmark is no longer visible in the Bookmarks menu.
* The bookmark is no longer visible on the Bookmarks Toolbar.
* The bookmark is no longer visible in the Bookmarks Sidebar.
* The deletion is persistent across browser restarts, confirming the entry was successfully removed from the bookmarks storage file.";0.8911;TP;
6;"Purpose

This basic testcase is designed to verify that bookmarks are added and deleted from the personal toolbar properly.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Open the Manage Bookmarks Window.
    Edit|Cut or Edit|Copy any bookmark.
    Select the 'Personal Toolbar Folder'. Double-click it or single-click the triangle to open the folder.
    Select Edit|Paste.
    Go to a browser window and click once on the new link in the personal toolbar.

Expected Results

    The bookmark you added should appear immediately on the personal toolbar in a browser window and be activated by a single click.
    It should also be present as a subitem under ""Personal Toolbar Folder"" in the toplevel Bookmarks menu, in the bookmarks popup within the personal toolbar itself, and in the bookmarks sidepanel.";"Purpose

This test case is designed to verify the CRUD (Create, Read, Update, Delete) functionality of items within the Personal Toolbar Folder, ensuring that additions and deletions are correctly persisted and reflected in the UI.

Initial Conditions

    The browser application is open.
    The ""Bookmarks Toolbar"" is visible in the browser interface.
    The user has access to the ""Manage Bookmarks"" window or the ""Add Bookmark"" dialog.

Steps/Description

    1. Navigate to a webpage and use the ""Add Bookmark"" feature to create a new bookmark, selecting ""Bookmarks Toolbar"" as the destination folder.
    2. Verify the presence of the new bookmark icon/label on the Bookmarks Toolbar.
    3. Right-click on the newly created bookmark in the toolbar and select ""Delete"".
    4. Create a new folder within the ""Bookmarks Toolbar"" directory via the ""Manage Bookmarks"" window.
    5. Drag and drop an existing bookmark into this new folder on the toolbar.
    6. Right-click the new folder and select ""Delete"" to remove the folder and its contents.
    7. Restart the browser to ensure changes persist across sessions.

Expected Results

    1. The bookmark is successfully saved and immediately appears on the Bookmarks Toolbar.
    2. The bookmark icon/label is removed from the toolbar immediately after the delete action.
    3. The folder is created and appears on the toolbar; the moved bookmark is successfully contained within it.
    4. Upon deleting the folder, both the folder and the contained bookmark are removed from the toolbar UI.
    5. All additions and deletions persist correctly after the browser is restarted.";0.8833;TP;
7;"Purpose

This basic testcase is designed to verify that folders are properly created and inserted into the bookmarks hierarchy.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks, which I use. I have also provided the default Mozilla bookmarks file.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Select Bookmarks|Manage Bookmarks.
    Select any item in your list. Select File|New Folder. Click ""OK"" in the dialog that appears.
    Select the folder you just created. Select File|New Folder. Click ""OK"" in the dialog that appears.
    Double-click the folder you just created. Select File|New Folder. Click ""OK"" in the dialog that appears.

Expected Results

    For step (2) a folder named ""New Folder"" should have been created and added just below the item you had selected. That item could be a bookmark, a folder, or a separator.
    For step (3) the folder should have again been created below the item (New Folder). In step (4) however, the folder should be created inside the previous folder.
    All of the newly created folders should appear with the correct hierarchical structure in the toplevel bookmarks menu, the bookmarks popup on the personal toolbar, the bookmarks panel in the sidebar, and of course the manage bookmarks window.";"1. Purpose

This test case is designed to verify the functionality of creating new bookmark folders and the ability to nest these folders within existing structures to ensure hierarchical integrity.

2. Initial Conditions

    The Bookmark Manager is open.
    The user has write permissions to the bookmarks database/file.
    At least one existing folder exists in the hierarchy (or the root folder is accessible).

3. Steps/Description

    In the Bookmark Manager, select a parent folder or the root directory.
    Right-click the selected area and choose the ""New Folder"" option from the context menu.
    Enter a name for the new folder in the dialog box and click ""OK"".
    Verify the folder appears in the selected location.
    Select the newly created folder, right-click it, and select ""New Folder"" again to create a sub-folder.
    Enter a name for the sub-folder and click ""OK"".
    Drag and drop an existing folder into another folder to test manual nesting.
    Expand the parent folder to verify the visibility of the nested sub-folder.

4. Expected Results

    The ""New Folder"" command successfully creates a new container in the selected location.
    The folder naming dialog accepts valid input and saves the folder name correctly.
    The hierarchy reflects the nesting, allowing the parent folder to be expanded to reveal the sub-folder.
    The drag-and-drop operation correctly moves the folder into the target parent, maintaining the data and structure of the moved folder.
    No errors or crashes occur during the creation or movement of folders.";0.873;TP;
8;"Purpose

This basic testcase is designed to verify that the fundamental bookmark function is in place, i.e. clicking on a bookmark takes you to that page.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Select the toplevel ""Bookmarks"" menu. Select any bookmark on the list.
    Click ""Bookmarks"" on the Bookmarks/personal toolbar. Select any bookmark on the list.
    Open the sidebar; click on the ""Bookmarks"" panel. Double-click any bookmark on the list.
    From the toplevel ""Bookmarks"" menu select ""Manage Bookmarks"". Double-click any bookmark in the window.

Expected Results

In all cases, the url corresponding to the bookmark you selected should be loaded in the browser window.";"1. Purpose

This test case is designed to verify that the standard user interaction of double-clicking a bookmark in the Bookmarks Manager or sidebar successfully triggers the navigation to the associated URL in a browser window.

2. Initial Conditions

    The browser application is open.
    The Bookmarks Manager or Bookmarks sidebar is open and visible.
    At least one valid bookmark (with a functional URL) exists within the bookmark list.

3. Steps/Description

    Locate an existing bookmark within the Bookmarks Manager or the Bookmarks sidebar.
    Position the mouse cursor over the specific bookmark entry.
    Perform a rapid double-click action using the primary mouse button.
    Observe the browser's behavior regarding the current tab or window.

4. Expected Results

    The browser should immediately initiate a request to the URL stored within the selected bookmark.
    The content of the bookmarked page should load in the active browser window or a new tab, depending on the current browser configuration.
    No error messages or unexpected dialogs should appear during the navigation process.";0.8608;TP;
9;"Purpose

This basic testcase is designed to verify that all the bookmarks within the default bookmarks file that is packaged with the browser are valid links.
Initial Conditions

You must have the default bookmarks file installed. Here is the Netscape bookmarks file, here is the Mozilla bookmarks file.
Steps/Description

Using the Bookmarks menu or the Manage Bookmarks window, select and surf each and every bookmark in turn.
Expected Results

Each bookmark should load completely in the browser window. There should be no ""dead"" links.";"1. Purpose

This test case is designed to verify the integrity of default bookmarks provided upon installation, ensuring that none of the links are ""dead"" (i.e., they do not return a 404 Not Found, 500 Internal Server Error, or other connection failure).

2. Initial Conditions

    A fresh installation of the browser has been performed.
    The default bookmarks set is present in the Bookmarks library.
    An active internet connection is available to perform HTTP requests.

3. Steps/Description

    Open the Bookmarks Manager.
    Iterate through every bookmark contained within the default folder structure.
    For each bookmark, perform a ""Check Link"" operation (or manually open the URL in a new tab if an automated check feature is not present).
    Record the HTTP status code returned by the server for each URL.
    Specifically verify that no link returns a 404 (Not Found), 410 (Gone), or results in a DNS resolution failure.

4. Expected Results

    All default bookmarks must resolve to a valid, reachable webpage (HTTP 200 OK).
    No bookmark should trigger a 404 or 5xx error.
    The browser should successfully load the landing page for every default bookmark provided.";0.8686;TP;
10;"Purpose

This basic testcase is designed to verify that the edit properties feature works as prescribed for various items.
Initial Conditions

    You must have a bookmarks file.
    To promote consistency, you may choose to use the default set of Netscape Seamonkey Bookmarks, which I use. I have also provided the default Mozilla bookmarks file.
    You also have the option to use this very large bookmarks file.
    You must also customize your sidebar to include a bookmarks panel.

Steps/Description

    Select Bookmarks|Manage Bookmarks.
    Select a bookmark. Select File|Bookmark Properties.
        Change the Name OR the Location.
        Edit the Description field. Click ""OK""
        Surf the link.
    Select a folder. Select File|Bookmark Properties.
        Change the Name.
        Change the description. Click ""OK"".

Expected Results

    For step(2) the changes should take effect upon pressing ""OK"". The changes should be seen in the four standard locations.If the name changed clicking the new bookmark name should go to the same url. If the url changed, clicking the same name should go to the new url.
    For step(3) the changes should take effect upon pressing ""OK"". The changes should be seen in the four standard locations.";"Purpose

This test case is designed to verify that modifying an existing bookmark’s properties (Name, Location/URL, Keyword, Description, or Tags) does not corrupt the bookmark entry, alter its structure, or result in data loss after saving.

Initial Conditions

    A browser instance with the Bookmarks Manager accessible.
    At least one existing bookmark entry populated with a Name, URL, Keyword, and Description.
    The ""Add/Edit Bookmark"" interface is functional.

Steps/Description

    1. Open the ""Manage Bookmarks"" window.
    2. Select an existing bookmark and open its ""Properties"" dialog.
    3. Modify the ""Name"" field to a new string.
    4. Modify the ""Location"" (URL) field to a valid, different URL.
    5. Update the ""Keyword"" field with a new unique keyword.
    6. Update the ""Description"" or ""Tags"" field with new text.
    7. Click ""Save"" or ""OK"" to commit the changes.
    8. Close the properties dialog and re-open the same bookmark's properties to verify the saved data.
    9. Perform a browser restart and verify that the modified bookmark persists with the correct updated values.

Expected Results

    All fields (Name, URL, Keyword, Description/Tags) are updated correctly in the UI.
    No data corruption occurs (e.g., fields are not blanked out or concatenated incorrectly).
    The bookmark remains valid and functional (i.e., clicking it navigates to the updated URL).
    The integrity of the bookmark entry is maintained after the application is restarted, confirming the changes were successfully written to the underlying storage/database.";0.8602;TP;
